window_end,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,packet_rate,byte_rate,syn_count,avg_packet_size
1782832801.525,10.231.201.83,10.231.201.145,51520,53,UDP,2,140,2.67,187.21,0,70.0
1782832801.525,10.231.201.145,10.231.201.83,53,51520,UDP,2,348,2.8,487.99,0,174.0
1782832802.537,10.231.201.83,10.231.201.145,51520,53,UDP,2,140,1.14,79.57,0,70.0
1782832802.537,10.231.201.145,10.231.201.83,53,51520,UDP,2,348,1.16,201.77,0,174.0
1782832831.814,10.231.201.83,10.231.201.145,33739,53,UDP,1,71,3.67,260.74,0,71.0
1782832831.814,10.231.201.83,10.231.201.145,42836,53,UDP,1,71,3.68,261.01,0,71.0
1782832832.822,10.231.201.83,10.231.201.145,33739,53,UDP,1,71,0.78,55.45,0,71.0
1782832832.822,10.231.201.83,10.231.201.145,42836,53,UDP,1,71,0.78,55.46,0,71.0
1782832832.822,10.231.201.145,10.231.201.83,53,33739,UDP,1,103,1.1,113.34,0,103.0
1782832832.822,10.231.201.83,104.20.23.154,51222,80,TCP,8,623,8.81,686.11,1,77.88
1782832832.822,10.231.201.145,10.231.201.83,53,42836,UDP,1,99,1.1,109.1,0,99.0
1782832832.822,104.20.23.154,10.231.201.83,80,51222,TCP,7,1349,9.06,1745.61,0,192.71
1782832833.825,10.231.201.145,10.231.201.83,53,33739,UDP,1,103,0.52,53.87,0,103.0
1782832833.825,10.231.201.83,104.20.23.154,51222,80,TCP,8,623,4.19,325.97,1,77.88
1782832833.825,10.231.201.145,10.231.201.83,53,42836,UDP,1,99,0.52,51.82,0,99.0
1782832833.825,104.20.23.154,10.231.201.83,80,51222,TCP,7,1349,3.94,759.57,0,192.71
1782832900.507,10.231.201.83,10.231.201.145,68,67,UDP,1,324,2.28,739.71,0,324.0
1782832901.519,10.231.201.83,10.231.201.145,68,67,UDP,1,324,0.69,223.57,0,324.0
1782832961.862,10.231.201.83,10.231.201.145,68,67,UDP,1,324,1.35,436.1,0,324.0
1782832962.863,10.231.201.83,10.231.201.145,68,67,UDP,1,324,0.57,185.86,0,324.0
1782833022.056,10.231.201.83,10.231.201.145,68,67,UDP,1,324,1.66,538.97,0,324.0
1782833023.194,10.231.201.83,10.231.201.145,68,67,UDP,1,324,0.57,186.29,0,324.0
1782833082.792,10.231.201.83,10.231.201.145,68,67,UDP,1,324,1.79,579.11,0,324.0
1782833143.725,10.231.201.83,10.231.201.145,68,67,UDP,1,324,0.78,252.9,0,324.0
1782833203.766,10.231.201.83,10.231.201.145,68,67,UDP,1,324,1.43,463.31,0,324.0
1782833204.813,10.231.201.83,10.231.201.145,68,67,UDP,1,324,0.57,185.52,0,324.0
1782833250.586,10.231.201.83,10.231.201.145,33756,53,UDP,1,70,3.94,276.02,0,70.0
1782833251.608,10.231.201.83,10.231.201.145,33756,53,UDP,1,70,0.78,54.84,0,70.0
1782833251.608,10.231.201.145,10.231.201.83,53,33756,UDP,1,86,1.13,97.46,0,86.0
1782833251.608,10.231.201.83,10.231.201.145,52497,53,UDP,1,70,1.13,79.43,0,70.0
1782833251.608,10.231.201.145,10.231.201.83,53,52497,UDP,1,182,2.0,364.36,0,182.0
1782833251.608,10.231.201.83,10.231.201.145,44444,53,UDP,1,70,2.01,140.39,0,70.0
1782833251.608,10.231.201.145,10.231.201.83,53,44444,UDP,1,91,2.32,210.92,0,91.0
1782833251.608,10.231.201.83,10.231.201.145,43047,53,UDP,1,70,2.32,162.46,0,70.0
1782833251.608,10.231.201.145,10.231.201.83,53,43047,UDP,1,95,2.62,249.06,0,95.0
1782833252.642,10.231.201.145,10.231.201.83,53,33756,UDP,1,86,0.52,44.9,0,86.0
1782833252.642,10.231.201.83,10.231.201.145,52497,53,UDP,1,70,0.52,36.57,0,70.0
1782833252.642,10.231.201.145,10.231.201.83,53,52497,UDP,1,182,0.65,118.75,0,182.0
1782833252.642,10.231.201.83,10.231.201.145,44444,53,UDP,1,70,0.65,45.7,0,70.0
1782833252.642,10.231.201.145,10.231.201.83,53,44444,UDP,1,91,0.68,62.14,0,91.0
1782833252.642,10.231.201.83,10.231.201.145,43047,53,UDP,1,70,0.68,47.82,0,70.0
1782833252.642,10.231.201.145,10.231.201.83,53,43047,UDP,1,95,0.71,67.16,0,95.0
1782833263.919,10.231.201.83,10.231.201.145,68,67,UDP,1,324,2.1,681.38,0,324.0
1782833265.027,10.231.201.83,10.231.201.145,68,67,UDP,1,324,0.63,204.59,0,324.0
1782833324.46,10.231.201.83,10.231.201.145,68,67,UDP,1,324,1.8,583.14,0,324.0
1782833325.47,10.231.201.83,10.231.201.145,68,67,UDP,1,324,0.64,206.99,0,324.0
1782833385.958,10.231.201.83,10.231.201.145,68,67,UDP,1,324,0.95,309.12,0,324.0
1782833446.466,10.231.201.83,10.231.201.145,68,67,UDP,1,324,1.02,329.26,0,324.0
1782833447.467,10.231.201.83,10.231.201.145,68,67,UDP,1,324,0.5,163.28,0,324.0
1782833506.462,10.231.201.83,10.231.201.145,68,67,UDP,1,324,6.87,2224.73,0,324.0
1782833507.463,10.231.201.83,10.231.201.145,68,67,UDP,1,324,0.87,282.54,0,324.0
1782833530.436,10.231.201.83,10.231.201.145,50549,139,TCP,1,58,3.63,210.8,1,58.0
1782833530.436,10.231.201.83,10.231.201.145,50549,443,TCP,1,58,3.64,211.09,1,58.0
1782833530.436,10.231.201.83,10.231.201.145,50549,53,TCP,2,112,7.29,408.02,1,56.0
1782833530.436,10.231.201.83,10.231.201.145,50549,199,TCP,1,58,3.65,211.55,1,58.0
1782833530.436,10.231.201.83,10.231.201.145,50549,8888,TCP,1,58,3.65,211.78,1,58.0
1782833530.436,10.231.201.83,10.231.201.145,50549,445,TCP,1,58,3.66,212.0,1,58.0
1782833530.436,10.231.201.83,10.231.201.145,50549,8080,TCP,1,58,3.66,212.21,1,58.0
1782833530.436,10.231.201.83,10.231.201.145,50549,554,TCP,1,58,3.66,212.44,1,58.0
1782833530.436,10.231.201.83,10.231.201.145,50549,1723,TCP,1,58,3.67,212.76,1,58.0
1782833530.436,10.231.201.83,10.231.201.145,50549,135,TCP,1,58,3.68,213.18,1,58.0
1782833530.436,10.231.201.145,10.231.201.83,139,50549,TCP,1,60,3.71,222.68,0,60.0
1782833530.436,10.231.201.145,10.231.201.83,443,50549,TCP,1,60,3.71,222.68,0,60.0
1782833530.436,10.231.201.145,10.231.201.83,53,50549,TCP,1,60,3.71,222.68,0,60.0
1782833530.436,10.231.201.145,10.231.201.83,199,50549,TCP,1,60,3.71,222.68,0,60.0
1782833530.436,10.231.201.145,10.231.201.83,8888,50549,TCP,1,60,3.71,222.68,0,60.0
